Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,2.760000,2.820000,2.600000,2.680000,2.680000,2544200
2017-10-16,2.730000,2.750000,2.550000,2.630000,2.630000,3003800
2017-10-23,2.640000,2.710000,2.560000,2.700000,2.700000,3283700
2017-10-30,2.700000,3.020000,2.700000,2.970000,2.970000,3455600
2017-11-06,3.010000,4.100000,2.970000,3.640000,3.640000,8661600
2017-11-13,3.890000,3.900000,3.420000,3.710000,3.710000,7227300
2017-11-20,3.710000,4.180000,3.680000,4.100000,4.100000,6962300
2017-11-27,4.110000,4.260000,3.900000,4.130000,4.130000,8921100
2017-12-04,4.140000,4.240000,3.790000,3.920000,3.920000,5244200
2017-12-11,3.910000,4.170000,3.840000,4.060000,4.060000,7013500
2017-12-18,4.070000,4.360000,4.010000,4.230000,4.230000,4610400
2017-12-25,4.240000,4.430000,4.230000,4.270000,4.270000,2872300
2018-01-01,4.270000,4.540000,4.220000,4.340000,4.340000,3524700
2018-01-08,4.370000,4.460000,4.070000,4.390000,4.390000,4595700
2018-01-15,4.400000,4.510000,3.990000,4.100000,4.100000,3743500
2018-01-22,4.130000,4.270000,4.010000,4.020000,4.020000,3229300
2018-01-29,4.010000,4.010000,3.710000,3.810000,3.810000,3520300
2018-02-05,3.800000,4.020000,3.420000,3.500000,3.500000,5581100
2018-02-12,3.530000,3.850000,3.400000,3.690000,3.690000,4113900
2018-02-19,3.720000,3.970000,3.690000,3.940000,3.940000,2853900
2018-02-26,3.940000,4.130000,3.420000,3.750000,3.750000,5827300
2018-03-05,3.700000,4.040000,3.670000,3.890000,3.890000,6961700
2018-03-12,3.900000,4.130000,3.810000,3.950000,3.950000,5477200
2018-03-19,3.900000,3.960000,3.760000,3.820000,3.820000,3491000
2018-03-26,3.860000,3.910000,3.600000,3.750000,3.750000,3900300
2018-04-02,3.710000,3.730000,3.240000,3.310000,3.310000,4775700
2018-04-09,3.360000,3.670000,3.180000,3.590000,3.590000,4209600
2018-04-16,3.600000,3.750000,3.490000,3.670000,3.670000,2427600
2018-04-23,3.650000,4.050000,3.580000,4.030000,4.030000,2502700
2018-04-30,4.030000,4.250000,3.830000,4.190000,4.190000,3274500
2018-05-07,4.210000,4.760000,3.860000,4.620000,4.620000,6289300
2018-05-14,4.640000,4.850000,4.560000,4.680000,4.680000,3655300
2018-05-21,4.700000,4.720000,4.160000,4.260000,4.260000,2913900
2018-05-28,4.210000,4.450000,4.140000,4.200000,4.200000,2733200
2018-06-04,4.210000,4.400000,4.020000,4.290000,4.290000,3884000
2018-06-11,4.280000,4.500000,4.180000,4.300000,4.300000,4643300
2018-06-18,4.300000,4.540000,4.220000,4.470000,4.470000,4992100
2018-06-25,4.470000,4.610000,4.130000,4.450000,4.450000,2962600
2018-07-02,4.430000,4.830000,4.310000,4.700000,4.700000,2838800
2018-07-09,4.720000,4.870000,4.610000,4.820000,4.820000,3061300
2018-07-16,4.790000,4.830000,4.300000,4.390000,4.390000,2247300
2018-07-23,4.410000,4.440000,4.110000,4.140000,4.140000,2144700
2018-07-30,4.170000,4.390000,4.130000,4.350000,4.350000,2444000
