Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,1.820000,2.450000,1.820000,2.000000,2.000000,1855300
2017-10-16,1.950000,2.080000,1.810000,2.080000,2.080000,575000
2017-10-23,2.100000,2.140000,1.830000,1.840000,1.840000,786300
2017-10-30,1.840000,2.070000,1.820000,2.050000,2.050000,557300
2017-11-06,2.050000,2.080000,1.930000,2.040000,2.040000,535700
2017-11-13,2.050000,2.130000,2.000000,2.030000,2.030000,663800
2017-11-20,2.020000,2.140000,2.020000,2.060000,2.060000,398400
2017-11-27,2.060000,2.090000,1.920000,2.020000,2.020000,766600
2017-12-04,2.050000,2.050000,1.960000,1.980000,1.980000,601300
2017-12-11,1.980000,2.020000,1.960000,1.980000,1.980000,327900
2017-12-18,2.000000,2.050000,1.990000,2.040000,2.040000,321200
2017-12-25,2.040000,2.040000,1.970000,1.970000,1.970000,382100
2018-01-01,2.000000,2.050000,2.000000,2.030000,2.030000,333200
2018-01-08,2.050000,2.240000,2.000000,2.100000,2.100000,1486800
2018-01-15,2.130000,2.150000,2.060000,2.120000,2.120000,454900
2018-01-22,2.120000,2.140000,2.010000,2.030000,2.030000,489600
2018-01-29,2.020000,2.030000,1.830000,1.870000,1.870000,920100
2018-02-05,1.840000,1.880000,1.730000,1.730000,1.730000,776600
2018-02-12,1.750000,1.830000,1.680000,1.780000,1.780000,349900
2018-02-19,1.820000,1.940000,1.820000,1.920000,1.920000,171700
2018-02-26,1.930000,2.000000,1.820000,1.890000,1.890000,380700
2018-03-05,1.890000,2.050000,1.830000,1.950000,1.950000,300100
2018-03-12,1.960000,1.990000,1.880000,1.950000,1.950000,290400
2018-03-19,1.930000,1.950000,1.870000,1.900000,1.900000,128500
2018-03-26,1.950000,1.950000,1.830000,1.860000,1.860000,131500
2018-04-02,1.860000,1.880000,1.820000,1.850000,1.850000,164000
2018-04-09,1.830000,1.940000,1.750000,1.920000,1.920000,975800
2018-04-16,1.940000,1.950000,1.880000,1.910000,1.910000,71300
2018-04-23,1.890000,1.900000,1.800000,1.900000,1.900000,158700
2018-04-30,1.870000,2.110000,1.830000,2.040000,2.040000,339900
2018-05-07,2.030000,2.450000,1.960000,2.210000,2.210000,889100
2018-05-14,2.200000,2.300000,2.130000,2.290000,2.290000,388400
2018-05-21,2.300000,2.300000,2.160000,2.170000,2.170000,388800
2018-05-28,2.130000,2.210000,2.130000,2.200000,2.200000,302900
2018-06-04,2.200000,2.330000,2.160000,2.300000,2.300000,472800
2018-06-11,2.300000,2.340000,2.260000,2.280000,2.280000,574000
2018-06-18,2.280000,2.300000,2.210000,2.300000,2.300000,183000
2018-06-25,2.290000,2.360000,2.270000,2.310000,2.310000,279400
2018-07-02,2.300000,2.350000,2.210000,2.220000,2.220000,399800
2018-07-09,2.230000,2.280000,2.140000,2.160000,2.160000,265500
2018-07-16,2.160000,2.240000,2.140000,2.210000,2.210000,226800
2018-07-23,2.220000,2.260000,2.180000,2.200000,2.200000,183200
2018-07-30,2.220000,2.370000,2.200000,2.290000,2.290000,230100
2018-08-06,2.270000,2.500000,2.230000,2.370000,2.370000,632100
2018-08-13,2.390000,2.450000,2.270000,2.310000,2.310000,187600
2018-08-20,2.310000,2.400000,2.300000,2.380000,2.380000,108900
2018-08-27,2.340000,2.380000,2.170000,2.230000,2.230000,181900
2018-09-03,2.240000,2.270000,2.160000,2.170000,2.170000,115500
2018-09-10,2.180000,2.270000,2.120000,2.260000,2.260000,207400
2018-09-17,2.270000,2.280000,2.130000,2.150000,2.150000,209100
