Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,3.150000,3.460000,3.150000,3.380000,3.264000,24800
2017-11-06,3.350000,3.350000,3.210000,3.300000,3.186746,14400
2017-11-13,null,null,null,null,null,null
2017-11-20,null,null,null,null,null,null
2017-11-27,null,null,null,null,null,null
2017-12-04,null,null,null,null,null,null
2017-12-11,null,null,null,null,null,null
2017-12-18,null,null,null,null,null,null
2017-12-25,null,null,null,null,null,null
2018-01-01,2.810000,2.880000,2.530000,2.610000,2.610000,50100
2018-01-08,2.690000,2.700000,2.610000,2.650000,2.650000,31900
2018-01-15,2.660000,2.700000,2.520000,2.540000,2.540000,56800
2018-01-22,2.610000,2.690000,2.520000,2.650000,2.650000,88400
2018-01-29,2.650000,3.630000,2.590000,3.020000,3.020000,268000
2018-02-05,3.020000,3.140000,2.510000,2.690000,2.690000,104100
2018-02-12,2.780000,2.780000,2.570000,2.570000,2.570000,23200
2018-02-19,2.690000,2.890000,2.530000,2.540000,2.540000,38500
2018-02-26,2.580000,2.700000,2.520000,2.700000,2.700000,36400
2018-03-05,2.700000,2.700000,2.280000,2.480000,2.480000,44100
2018-03-12,2.620000,2.910000,2.350000,2.370000,2.370000,101200
2018-03-19,2.290000,2.480000,1.900000,2.000000,2.000000,58300
2018-03-26,2.050000,2.100000,1.900000,1.900000,1.900000,91900
2018-04-02,1.970000,2.350000,1.560000,1.700000,1.700000,180200
2018-04-09,1.690000,1.700000,1.170000,1.250000,1.250000,317700
2018-04-16,1.200000,1.370000,0.980000,1.220000,1.220000,202600
2018-04-23,1.220000,1.220000,1.000000,1.030000,1.030000,86400
2018-04-30,1.030000,1.950000,1.020000,1.300000,1.300000,944300
2018-05-07,1.240000,1.470000,1.100000,1.120000,1.120000,218200
2018-05-14,1.110000,1.370000,1.010000,1.220000,1.220000,185200
2018-05-21,1.270000,4.560000,1.270000,2.410000,2.410000,13496800
2018-05-28,2.240000,2.520000,1.770000,2.160000,2.160000,718500
2018-06-04,2.150000,2.150000,1.800000,1.960000,1.960000,196400
2018-06-11,1.950000,2.000000,1.700000,1.800000,1.800000,108500
2018-06-18,1.810000,1.900000,1.600000,1.600000,1.600000,72700
2018-06-25,1.900000,1.930000,1.330000,1.400000,1.400000,316300
2018-07-02,1.370000,1.770000,1.330000,1.710000,1.710000,89200
2018-07-09,1.820000,2.640000,1.550000,1.570000,1.570000,663000
2018-07-16,1.510000,1.900000,1.510000,1.750000,1.750000,119800
2018-07-23,2.210000,2.300000,1.630000,1.680000,1.680000,146700
2018-07-30,1.840000,5.580000,1.560000,4.170000,4.170000,5451900
2018-08-06,2.140000,2.980000,1.700000,1.840000,1.840000,1925100
2018-08-13,1.830000,1.970000,1.740000,1.810000,1.810000,165800
2018-08-20,1.820000,2.280000,1.750000,1.890000,1.890000,1192300
2018-08-27,1.980000,2.000000,1.830000,1.890000,1.890000,88800
2018-09-03,1.910000,1.910000,1.750000,1.800000,1.800000,58100
2018-09-10,1.780000,1.900000,1.760000,1.870000,1.870000,38900
2018-09-17,1.900000,2.030000,1.850000,1.980000,1.980000,104500
2018-09-24,2.000000,2.450000,1.890000,1.910000,1.910000,344600
2018-10-01,1.930000,2.700000,1.920000,2.060000,2.060000,413200
2018-10-08,2.060000,2.150000,0.220000,0.350000,0.350000,268000
2018-10-15,0.350000,0.470000,0.350000,0.390000,0.390000,65000
2018-10-22,0.400000,0.510000,0.380000,0.460000,0.460000,107800
2018-10-29,0.450000,0.470000,0.410000,0.410000,0.410000,66600
2018-11-05,0.510000,0.510000,0.250000,0.250000,0.250000,31800
2018-11-12,0.200000,0.300000,0.200000,0.250000,0.250000,52200
2018-11-19,0.250000,0.250000,0.200000,0.230000,0.230000,31100
2018-11-26,0.230000,0.250000,0.110000,0.200000,0.200000,96100
2018-12-03,0.190000,0.200000,0.120000,0.200000,0.200000,13100
2018-12-10,0.130000,0.250000,0.130000,0.160000,0.160000,11900
2018-12-17,0.160000,0.220000,0.120000,0.120000,0.120000,102200
2018-12-24,0.140000,0.160000,0.120000,0.150000,0.150000,28200
2018-12-31,0.140000,0.160000,0.120000,0.120000,0.120000,38500
2019-01-07,0.130000,0.150000,0.120000,0.120000,0.120000,42600
2019-01-14,0.120000,0.130000,0.110000,0.110000,0.110000,43200
2019-01-21,0.110000,0.110000,0.050000,0.050000,0.050000,35000
2019-01-28,0.060000,0.100000,0.020000,0.020000,0.020000,12500
2019-02-04,0.020000,0.020000,0.020000,0.020000,0.020000,700
2019-02-11,0.020000,0.030000,0.020000,0.020000,0.020000,54000
2019-02-18,0.010000,0.080000,0.010000,0.080000,0.080000,1100
2019-02-25,0.010000,0.030000,0.010000,0.010000,0.010000,68600
2019-03-04,0.010000,0.060000,0.010000,0.010000,0.010000,78200
2019-03-11,0.020000,0.020000,0.010000,0.010000,0.010000,54600
2019-03-18,0.010000,0.050000,0.010000,0.050000,0.050000,56500
2019-03-25,0.050000,0.050000,0.010000,0.050000,0.050000,9300
2019-04-01,0.030000,0.050000,0.020000,0.050000,0.050000,8000
2019-04-08,0.050000,0.050000,0.010000,0.010000,0.010000,2500
2019-04-15,0.020000,0.040000,0.010000,0.040000,0.040000,25200
2019-04-22,0.040000,0.050000,0.030000,0.030000,0.030000,11100
2019-04-29,0.030000,0.070000,0.030000,0.030000,0.030000,5200
2019-05-06,0.030000,0.070000,0.030000,0.050000,0.050000,500
2019-05-13,0.030000,0.030000,0.030000,0.030000,0.030000,1600
2019-05-20,0.020000,0.200000,0.020000,0.200000,0.200000,24000
2019-05-27,0.010000,0.010000,0.010000,0.010000,0.010000,1200
2019-06-03,0.010000,0.200000,0.010000,0.180000,0.180000,33700
2019-06-10,0.200000,0.200000,0.030000,0.030000,0.030000,1500
